molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5847833,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4(O)CCNCC4)c3)cn3nccc23)cn1,434.5480000000002,2.9319000000000006,2.0,6.0
CHEMBL5882347,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4(O)CCOCC4)c3)cn3nccc23)cn1,435.5320000000002,3.358900000000002,1.0,6.0
CHEMBL5907705,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4CC(CO)C4)c3)cn3nccc23)cn1,419.53300000000013,3.8359000000000023,1.0,5.0
CHEMBL5752955,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4CC(O)C4)c3)cn3nccc23)cn1,405.5060000000001,3.588300000000002,1.0,5.0
CHEMBL5992455,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4CCCN4)c3)cn3nccc23)cn1,404.52200000000005,3.5694000000000017,1.0,5.0
CHEMBL5744788,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4CCOCC4)c3)cn3nccc23)cn1,419.53300000000013,4.244000000000003,0.0,5.0
CHEMBL5921362,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4CCS(=O)(=O)CC4)c3)cn3nccc23)cn1,467.59900000000016,3.6422000000000025,0.0,6.0
CHEMBL5992169,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4CNC(=O)O4)c3)cn3nccc23)cn1,420.4770000000001,2.9258000000000006,1.0,6.0
CHEMBL5966770,active,6.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CC4CNCCO4)c3)cn3nccc23)cn1,420.52100000000013,2.8058000000000005,1.0,6.0
CHEMBL5752883,active,7.259637310505756,CCC(CC)n1cc(-c2nc(-c3cnn(CCC(O)CO)c3)cn3nccc23)cn1,409.4940000000001,2.5607000000000006,2.0,6.0
